우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|7|0|3611011200114030000000009||가락마을14단지근린생활시설|3611011200|고운동||고운동|0|1403|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|190|0|3611011200101750000000001||가락마을15단지|3611011200|고운동||고운동|0|1393|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|187|0|3611011200101740002000002||가락마을16단지|3611011200|고운동||고운동|0|1395|01|0||
30063|세종특별자치시|Sejong-si|||||361104574744|만남로6길|Mannam-ro 6-gil|0|12|0|3611011200119200000000001|||3611011200|고운동||고운동|0|1920|01|0||
30062|세종특별자치시|Sejong-si|||||361104853208|고운북4길|Gounbuk 4-gil|0|8|0|3611011200111940000000001|||3611011200|고운동||고운동|0|1194|01|0||
30062|세종특별자치시|Sejong-si|||||361104853209|고운북6길|Gounbuk 6-gil|0|16|3|3611011200111280000000001|||3611011200|고운동||고운동|0|1128|01|0||
30063|세종특별자치시|Sejong-si|||||361104574602|대교길|Daegyo-gil|0|197|0|3611011200114070000000001|||3611011200|고운동||고운동|0|1407|02|0||
30062|세종특별자치시|Sejong-si|||||361104853208|고운북4길|Gounbuk 4-gil|0|28|0|3611011200111480000000001|||3611011200|고운동||고운동|0|1148|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|65|0|3611011200202390000000011|||3611011200|고운동||고운동|0|1803|01|0||
30062|세종특별자치시|Sejong-si|||||361104857884|고운마을3길|Gounmaeul 3-gil|0|6|0|3611011200108950025000001|||3611011200|고운동||고운동|0|895|01|25||
30062|세종특별자치시|Sejong-si|||||361104857884|고운마을3길|Gounmaeul 3-gil|0|13|1|3611011200108950034000001|||3611011200|고운동||고운동|0|895|01|34||
30062|세종특별자치시|Sejong-si|||||361104857885|고운마을4길|Gounmaeul 4-gil|0|8|0|3611011200108950006000001|||3611011200|고운동||고운동|0|895|01|6||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|224|0|3611011200112550000000001|||3611011200|고운동||고운동|0|1255|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|13|0|3611011200118150000000001|||3611011200|고운동||고운동|0|1815|01|0||
30063|세종특별자치시|Sejong-si|||||361103258107|만남1북로|Mannam1buk-ro|0|63|0|3611011200114190000000001|||3611011200|고운동||고운동|0|1419|01|0||
30063|세종특별자치시|Sejong-si|||||361104574744|만남로6길|Mannam-ro 6-gil|0|22|0|3611011200119260000000001|||3611011200|고운동||고운동|0|1926|01|0||
30062|세종특별자치시|Sejong-si|||||361104853211|고운북8길|Gounbuk 8-gil|0|3|0|3611011200109990000000001|||3611011200|고운동||고운동|0|999|01|0||
